,Date
1198,20/02/2020
1199,20/02/2020
1200,20/02/2020
1201,20/02/2020
1202,20/02/2020
1203,20/02/2020
1204,20/02/2020
1205,20/02/2020
1206,20/02/2020
1207,20/02/2020
1208,20/02/2020
1209,20/02/2020
1210,20/02/2020
1211,20/02/2020
1212,20/02/2020
1213,20/02/2020
1214,20/02/2020
1215,20/02/2020
1216,20/02/2020
1217,20/02/2020
1218,20/02/2020
1219,20/02/2020
1220,20/02/2020
1221,20/02/2020
1222,21/02/2020
1223,21/02/2020
1224,21/02/2020
1225,21/02/2020
1226,21/02/2020
1227,21/02/2020
1228,21/02/2020
1229,21/02/2020
1230,21/02/2020
1231,21/02/2020
1232,21/02/2020
1233,21/02/2020
1234,21/02/2020
1235,21/02/2020
1236,21/02/2020
1237,21/02/2020
1238,21/02/2020
1239,21/02/2020
1240,21/02/2020
1241,21/02/2020
1242,21/02/2020
1243,21/02/2020
1244,21/02/2020
1245,21/02/2020
1246,22/02/2020
1247,22/02/2020
1248,22/02/2020
1249,22/02/2020
1250,22/02/2020
1251,22/02/2020
1252,22/02/2020
1253,22/02/2020
1254,22/02/2020
1255,22/02/2020
1256,22/02/2020
1257,22/02/2020
1258,22/02/2020
1259,22/02/2020
1260,22/02/2020
1261,22/02/2020
1262,22/02/2020
1263,22/02/2020
1264,22/02/2020
1265,22/02/2020
1266,22/02/2020
1267,22/02/2020
1268,22/02/2020
1269,22/02/2020
1270,23/02/2020
1271,23/02/2020
1272,23/02/2020
1273,23/02/2020
1274,23/02/2020
1275,23/02/2020
1276,23/02/2020
1277,23/02/2020
1278,23/02/2020
1279,23/02/2020
1280,23/02/2020
1281,23/02/2020
1282,23/02/2020
1283,23/02/2020
1284,23/02/2020
1285,23/02/2020
1286,23/02/2020
1287,23/02/2020
1288,23/02/2020
1289,23/02/2020
1290,23/02/2020
1291,23/02/2020
1292,23/02/2020
1293,23/02/2020
1294,24/02/2020
1295,24/02/2020
1296,24/02/2020
1297,24/02/2020
1298,24/02/2020
1299,24/02/2020
1300,24/02/2020
1301,24/02/2020
1302,24/02/2020
1303,24/02/2020
1304,24/02/2020
1305,24/02/2020
1306,24/02/2020
1307,24/02/2020
1308,24/02/2020
1309,24/02/2020
1310,24/02/2020
1311,24/02/2020
1312,24/02/2020
1313,24/02/2020
1314,24/02/2020
1315,24/02/2020
1316,24/02/2020
1317,24/02/2020
1318,25/02/2020
1319,25/02/2020
1320,25/02/2020
1321,25/02/2020
1322,25/02/2020
1323,25/02/2020
1324,25/02/2020
1325,25/02/2020
1326,25/02/2020
1327,25/02/2020
1328,25/02/2020
1329,25/02/2020
1330,25/02/2020
1331,25/02/2020
1332,25/02/2020
1333,25/02/2020
1334,25/02/2020
1335,25/02/2020
1336,25/02/2020
1337,25/02/2020
1338,25/02/2020
1339,25/02/2020
1340,25/02/2020
1341,25/02/2020
1342,26/02/2020
1343,26/02/2020
1344,26/02/2020
1345,26/02/2020
1346,26/02/2020
1347,26/02/2020
1348,26/02/2020
1349,26/02/2020
1350,26/02/2020
1351,26/02/2020
1352,26/02/2020
1353,26/02/2020
1354,26/02/2020
1355,26/02/2020
1356,26/02/2020
1357,26/02/2020
1358,26/02/2020
1359,26/02/2020
1360,26/02/2020
1361,26/02/2020
1362,26/02/2020
1363,26/02/2020
1364,26/02/2020
1365,26/02/2020
1366,27/02/2020
1367,27/02/2020
1368,27/02/2020
1369,27/02/2020
1370,27/02/2020
1371,27/02/2020
1372,27/02/2020
1373,27/02/2020
1374,27/02/2020
1375,27/02/2020
1376,27/02/2020
1377,27/02/2020
1378,27/02/2020
1379,27/02/2020
1380,27/02/2020
1381,27/02/2020
1382,27/02/2020
1383,27/02/2020
1384,27/02/2020
1385,27/02/2020
1386,27/02/2020
1387,27/02/2020
1388,27/02/2020
1389,27/02/2020
1390,28/02/2020
1391,28/02/2020
1392,28/02/2020
1393,28/02/2020
1394,28/02/2020
1395,28/02/2020
1396,28/02/2020
1397,28/02/2020
1398,28/02/2020
1399,28/02/2020
1400,28/02/2020
1401,28/02/2020
1402,28/02/2020
1403,28/02/2020
1404,28/02/2020
1405,28/02/2020
1406,28/02/2020
1407,28/02/2020
1408,28/02/2020
